seed,metric,base,forecast_only,memory_only,full,forecast_main_effect,memory_main_effect,interaction
11,total_irrigation_mm,363.9682439863682,363.9682439863682,358.5278112888336,358.0689211189747,-0.22944508492946625,-5.669877782464027,-0.4588901698589325
11,time_in_target_pct,54.349315068493155,54.349315068493155,54.31506849315069,54.965753424657535,0.3253424657534225,0.29109589041095774,0.650684931506845
11,violation_rate_pct,45.65068493150685,45.65068493150685,45.68493150684931,45.034246575342465,-0.3253424657534225,-0.29109589041096484,-0.650684931506845
11,rmse_band,0.022240538324082678,0.022240538324082678,0.0221851321537325,0.02213903407786273,-2.304903793488508e-05,-7.845520828506439e-05,-4.609807586977016e-05
11,action_smoothness,0.014794800039676379,0.014794800039676379,0.015583264009772078,0.01732210195191117,0.0008694189710695462,0.0016578829411652458,0.0017388379421390925
11,deficit_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,surplus_rate_pct,45.65068493150685,45.65068493150685,45.68493150684931,45.034246575342465,-0.3253424657534225,-0.29109589041096484,-0.650684931506845
11,drainage_total_mm,790.3963961208449,790.3963961208449,785.0641442037287,784.3496554751598,-0.3572443642844405,-5.689496281400636,-0.714488728568881
11,runoff_total_mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,mean_soil_moisture,0.31646813600058726,0.31646813600058726,0.3151082841888618,0.3143605043323005,-0.00037388992828063516,-0.0017337417400061228,-0.0007477798565612703
11,max_abs_mass_balance_error_mm,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0
22,total_irrigation_mm,392.07386296987534,392.07386296987534,328.461906760931,394.6850163936615,33.11155481636524,-30.50040139257908,66.22310963273048
22,time_in_target_pct,56.038812785388124,56.038812785388124,57.78538812785388,56.267123287671225,-0.7591324200913263,0.9874429223744272,-1.5182648401826526
22,violation_rate_pct,43.961187214611876,43.961187214611876,42.214611872146115,43.73287671232877,0.7591324200913263,-0.9874429223744343,1.5182648401826526
22,rmse_band,0.022340921164708424,0.022340921164708424,0.021561601220485026,0.022289732404158134,0.00036406559183655395,-0.000415254352386844,0.0007281311836731079
22,action_smoothness,0.022036449255797945,0.022036449255797945,0.017688508276825613,0.029753544723515313,0.00603251822334485,0.0016845772443725184,0.0120650364466897
22,deficit_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,surplus_rate_pct,43.961187214611876,43.961187214611876,42.214611872146115,43.73287671232877,0.7591324200913263,-0.9874429223744343,1.5182648401826526
22,drainage_total_mm,822.684859684949,822.684859684949,761.0195552951214,824.3504911951243,31.665467950001414,-29.999836439826083,63.33093590000283
22,runoff_total_mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,mean_soil_moisture,0.3078096569743293,0.3078096569743293,0.3048315731829446,0.3059615287695921,0.0005649777933237343,-0.002413105998060966,0.0011299555866474686
22,max_abs_mass_balance_error_mm,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0
33,total_irrigation_mm,344.1287980377674,296.94811829924583,326.25818198919296,344.1287980377674,-14.655031844973564,14.655031844973564,65.05129578709602
33,time_in_target_pct,55.81050228310502,46.92922374429224,49.965753424657535,55.81050228310502,-1.518264840182649,1.518264840182649,14.726027397260275
33,violation_rate_pct,44.18949771689498,53.07077625570776,50.034246575342465,44.18949771689498,1.518264840182649,-1.518264840182649,-14.726027397260275
33,rmse_band,0.02194829420035197,0.021888888708009355,0.021837316966593218,0.02194829420035197,2.5785870708068537e-05,-2.5785870708068537e-05,0.00017038272610137017
33,action_smoothness,0.009286154659116414,0.010558627725314408,0.00959353892208983,0.009286154659116414,0.0004825444016122891,-0.0004825444016122891,-0.001579857329171411
33,deficit_rate_pct,0.0,11.426940639269406,6.472602739726027,0.0,2.477168949771689,-2.477168949771689,-17.899543378995432
33,surplus_rate_pct,44.18949771689498,41.64383561643836,43.56164383561644,44.18949771689498,-0.9589041095890387,0.9589041095890387,3.1735159817351573
33,drainage_total_mm,773.8239274937941,754.3815242112593,764.0092687093633,773.8239274937941,-4.813872249051997,4.813872249051997,29.257062066965773
33,runoff_total_mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,mean_soil_moisture,0.30655574961914706,0.2976484540190745,0.3021265214287981,0.30655574961914706,-0.0022390337048617814,0.0022390337048617814,0.013336523790421495
33,max_abs_mass_balance_error_mm,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0
