seed,forecast_level,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm
11,SF10,358.159177005291,54.965753424657535,45.034246575342465,0.022140520224947734,0.0172783380563788,0.0,45.034246575342465,784.4387410368968,0.0,0.31437201124411324,1.4210854715202004e-14
11,SF20,358.0689211189747,54.965753424657535,45.034246575342465,0.02213903407786273,0.01732210195191117,0.0,45.034246575342465,784.3496554751598,0.0,0.3143605043323005,1.4210854715202004e-14
11,SF30,357.9165726006031,55.02283105022832,44.97716894977169,0.02213673423432052,0.017388475466596574,0.0,44.97716894977169,784.2002949620276,0.0,0.3143388669638654,1.4210854715202004e-14
22,SF10,394.77607426047325,56.267123287671225,43.73287671232877,0.022290555880131104,0.029744886402017327,0.0,43.73287671232877,824.4330209507723,0.0,0.30597031163713156,1.4210854715202004e-14
22,SF20,394.6850163936615,56.267123287671225,43.73287671232877,0.022289732404158134,0.029753544723515313,0.0,43.73287671232877,824.3504911951243,0.0,0.3059615287695921,1.4210854715202004e-14
22,SF30,394.5104858279228,56.278538812785385,43.72146118721461,0.02228785522247212,0.029768714275734652,0.0,43.72146118721461,824.2012758221204,0.0,0.3059416637861265,1.4210854715202004e-14
33,SF10,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,SF20,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,SF30,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
