registry,slot_id,model,seed,reward_version,training_device,validation_gate,losses_finite,effective_total_interactions,checkpoint,expected_sha256,actual_sha256,checkpoint_exists,hash_verified,freeze_status
sac_family,SAC Basic|seed=11,SAC Basic,11,reward_v4,cuda,True,True,6720,Checkpoints/Fair_DRL/SAC/sac_seed11_best.pt,a5b5515ccdd9a325c38790b98bf971365347ffb392f36a54983f16c5e809825c,a5b5515ccdd9a325c38790b98bf971365347ffb392f36a54983f16c5e809825c,True,True,FROZEN
sac_family,SAC Basic|seed=22,SAC Basic,22,reward_v4,cuda,True,True,6720,Checkpoints/Fair_DRL/SAC/sac_seed22_best.pt,be956eea64d7c1922120fcae84bb2052670f37f8787a5cfd7abbdbfac961efc2,be956eea64d7c1922120fcae84bb2052670f37f8787a5cfd7abbdbfac961efc2,True,True,FROZEN
sac_family,SAC Basic|seed=33,SAC Basic,33,reward_v4,cuda,True,True,6720,Checkpoints/Fair_DRL/SAC/sac_seed33_best.pt,a292da3fa2b0069874f58b9836c9126bcbd61a061960f2e07778558e7fb3efd1,a292da3fa2b0069874f58b9836c9126bcbd61a061960f2e07778558e7fb3efd1,True,True,FROZEN
sac_family,SAC Basic|seed=44,SAC Basic,44,reward_v4,cuda,True,True,6720,Checkpoints/Fair_DRL/SAC/sac_seed44_best.pt,d59cddbbb0af9ce3b4015776f37a5ea3d439fafd65840833174f475e12e9c363,d59cddbbb0af9ce3b4015776f37a5ea3d439fafd65840833174f475e12e9c363,True,True,FROZEN
sac_family,SAC Basic|seed=55,SAC Basic,55,reward_v4,cuda,True,True,6720,Checkpoints/Fair_DRL/SAC/sac_seed55_best.pt,aa2a2e370df694c2c6c53440615b5d7a77b0e9c919b5d330bce6e22c8a763e09,aa2a2e370df694c2c6c53440615b5d7a77b0e9c919b5d330bce6e22c8a763e09,True,True,FROZEN
sac_family,SAC Basic|seed=66,SAC Basic,66,reward_v4,cuda,True,True,6720,Checkpoints/Fair_DRL/SAC/sac_seed66_best.pt,b8b2a592c3c3ab05d208d068ac2e72e96cf02f8f5a626aa618138799a4366da4,b8b2a592c3c3ab05d208d068ac2e72e96cf02f8f5a626aa618138799a4366da4,True,True,FROZEN
sac_family,SAC Basic|seed=77,SAC Basic,77,reward_v4,cuda,True,True,6720,Checkpoints/Fair_DRL/SAC/sac_seed77_best.pt,075e7fea4a8b994d7c1074ba1e7d3a087e9de05262d4ba7dad1adcbc31de68ba,075e7fea4a8b994d7c1074ba1e7d3a087e9de05262d4ba7dad1adcbc31de68ba,True,True,FROZEN
sac_family,SAC Basic|seed=88,SAC Basic,88,reward_v4,cuda,True,True,6720,Checkpoints/Fair_DRL/SAC/sac_seed88_best.pt,dcf4b45b859fa169e6e6194f51cb67d7cfda41548c66d1f5fdec4b18f2e373f4,dcf4b45b859fa169e6e6194f51cb67d7cfda41548c66d1f5fdec4b18f2e373f4,True,True,FROZEN
sac_family,SAC Basic|seed=99,SAC Basic,99,reward_v4,cuda,True,True,6720,Checkpoints/Fair_DRL/SAC/sac_seed99_best.pt,11650209afccd0065c436661afbcf896072ffb373c6129f9bfee35a05ef09902,11650209afccd0065c436661afbcf896072ffb373c6129f9bfee35a05ef09902,True,True,FROZEN
sac_family,SAC Basic|seed=110,SAC Basic,110,reward_v4,cuda,False,True,6720,Checkpoints/Fair_DRL/SAC/sac_seed110_best.pt,5c0f619863fddbdd9d3e8b0c7542756a1dfce5f7398ffe314e9de8480301480f,5c0f619863fddbdd9d3e8b0c7542756a1dfce5f7398ffe314e9de8480301480f,True,True,FROZEN
sac_family,SAC + Forecast|seed=11,SAC + Forecast,11,reward_v4,cuda,True,True,13440,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed11_best.pt,df130ea1531a496394907ae0f3ad825b915ce08edf95b82b4b01bf621117f6a2,df130ea1531a496394907ae0f3ad825b915ce08edf95b82b4b01bf621117f6a2,True,True,FROZEN
sac_family,SAC + Forecast|seed=22,SAC + Forecast,22,reward_v4,cuda,True,True,13440,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed22_best.pt,0619d9440dc7ef82d02df4b276454e2a6282a23b681137f1c4f73fac83072aae,0619d9440dc7ef82d02df4b276454e2a6282a23b681137f1c4f73fac83072aae,True,True,FROZEN
sac_family,SAC + Forecast|seed=33,SAC + Forecast,33,reward_v4,cuda,True,True,13440,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed33_best.pt,9443fb458ed8b143296c51c2809f2f0065b1b7904025725a4fa633009615b9c6,9443fb458ed8b143296c51c2809f2f0065b1b7904025725a4fa633009615b9c6,True,True,FROZEN
sac_family,SAC + Forecast|seed=44,SAC + Forecast,44,reward_v4,cuda,True,True,13440,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed44_best.pt,a19ba34b003c2275c574d8a92a7773233772f3272cc5cccaae56f36c5fb58bed,a19ba34b003c2275c574d8a92a7773233772f3272cc5cccaae56f36c5fb58bed,True,True,FROZEN
sac_family,SAC + Forecast|seed=55,SAC + Forecast,55,reward_v4,cuda,True,True,13440,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed55_best.pt,106dcbdb4508f9bb7a264074b34641473d068c1d7cc1c02c0699327521701427,106dcbdb4508f9bb7a264074b34641473d068c1d7cc1c02c0699327521701427,True,True,FROZEN
sac_family,SAC + Forecast|seed=66,SAC + Forecast,66,reward_v4,cuda,True,True,13440,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed66_best.pt,d343abe22f49a6bdb2465572114b351b68bd4def21126993888291249a198e96,d343abe22f49a6bdb2465572114b351b68bd4def21126993888291249a198e96,True,True,FROZEN
sac_family,SAC + Forecast|seed=77,SAC + Forecast,77,reward_v4,cuda,True,True,13440,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed77_best.pt,0514a9dcd65a8ffc8200214c6cb84518936cd20b461d68f94c196ae1d6d65f0f,0514a9dcd65a8ffc8200214c6cb84518936cd20b461d68f94c196ae1d6d65f0f,True,True,FROZEN
sac_family,SAC + Forecast|seed=88,SAC + Forecast,88,reward_v4,cuda,True,True,13440,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed88_best.pt,cbc46af0334c15ca31d2b547198cff54254ea9dc418fb779437e3265b249ecf4,cbc46af0334c15ca31d2b547198cff54254ea9dc418fb779437e3265b249ecf4,True,True,FROZEN
