experiment,condition,n_seeds,time_in_target_pct_mean,total_irrigation_mm_mean,violation_rate_pct_mean,rmse_band_mean,reference_condition,time_in_target_pct_mean_delta,total_irrigation_mm_mean_delta,violation_rate_pct_mean_delta,rmse_band_mean_delta
context_ablation,Full,10,55.26598173515983,359.8306940495968,44.73401826484018,0.0219896015881065,Full,0.0,0.0,0.0,0.0
context_ablation,No History,10,54.44748858447489,371.6475044548512,45.55251141552511,0.0221864603727126,Full,-0.8184931506849438,11.816810405254387,0.8184931506849296,0.00019685878460609998
context_ablation,No Forecast,10,54.40525114155251,368.8861918777228,45.594748858447495,0.0221413609221449,Full,-0.8607305936073217,9.055497828126022,0.8607305936073146,0.00015175933403840242
context_ablation,No Context,10,53.51598173515983,383.6516698628664,46.48401826484018,0.0223752269967069,Full,-1.75,23.820975813269627,1.75,0.0003856254086004006
context_ablation,Shuffled History,10,55.07420091324201,365.4699124157429,44.92579908675799,0.0220578084558322,Full,-0.19178082191782408,5.63921836614611,0.19178082191780987,6.820686772570153e-05
context_ablation,Reversed History,10,55.12785388127854,365.3783450365066,44.87214611872146,0.0220549122041765,Full,-0.13812785388129356,5.547650986909787,0.13812785388127935,6.531061607000302e-05
context_ablation,Zero History,10,54.60616438356165,367.1412359505892,45.39383561643836,0.0221269052754417,Full,-0.6598173515981856,7.310541900992405,0.6598173515981784,0.00013730368733520099
context_ablation,Shuffled Forecast,10,54.965753424657535,361.32442125976087,45.03424657534247,0.0220370547809864,Full,-0.30022831050229826,1.4937272101640815,0.30022831050229115,4.7453192879902406e-05
context_ablation,Zero Forecast,10,54.7648401826484,363.1645522803068,45.2351598173516,0.0220708851996434,Full,-0.5011415525114344,3.333858230710007,0.5011415525114202,8.128361153690242e-05
forecast_robustness,SF10,10,55.25684931506849,359.88433366119864,44.74315068493151,0.021990561363602,SF20,-0.00913242009134052,0.053639611601852266,0.00913242009132631,9.597754955029125e-07
forecast_robustness,SF20,10,55.26598173515983,359.8306940495968,44.73401826484018,0.0219896015881065,SF20,0.0,0.0,0.0,0.0
forecast_robustness,SF30,10,55.29223744292237,359.7650701582432,44.70776255707763,0.0219882244746006,SF20,0.026255707762537384,-0.06562389135359581,-0.026255707762551594,-1.3771135058994466e-06
sequence_sensitivity,k6,10,55.10502283105022,361.0023965418339,44.89497716894978,0.0220117868844325,k24,-0.1609589041096129,1.1717024922371024,0.16095890410959868,2.2185296326002885e-05
sequence_sensitivity,k12,10,55.24657534246576,360.1984638154507,44.75342465753425,0.0219963092456951,k24,-0.01940639269407285,0.3677697658538932,0.019406392694065744,6.707657588599786e-06
sequence_sensitivity,k24,10,55.26598173515983,359.8306940495968,44.73401826484018,0.0219896015881065,k24,0.0,0.0,0.0,0.0
sequence_sensitivity,k48,10,55.26712328767123,359.7812443882227,44.73287671232877,0.0219889837042139,k24,0.0011415525113989133,-0.049449661374069365,-0.0011415525114131242,-6.17883892599369e-07
