experiment,condition,seed,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm
context_ablation,Full,11,347.1227196455002,55.4337899543379,44.5662100456621,0.021980129424334215,0.012449751329389334,0.07990867579908677,44.486301369863014,773.7505893491251,0.0,0.3122987047635307,1.4210854715202004e-14
context_ablation,No History,11,351.35588186979294,55.25114155251142,44.74885844748858,0.022040973039566175,0.012708024093856794,0.0,44.74885844748858,777.9364846559811,0.0,0.312963934707611,1.4210854715202004e-14
context_ablation,No Forecast,11,351.50094845891,55.205479452054796,44.794520547945204,0.02204635303357074,0.012571782346647725,0.0,44.794520547945204,778.029879490337,0.0,0.31321698916970325,1.4210854715202004e-14
context_ablation,No Context,11,355.94068017601967,55.01141552511416,44.98858447488585,0.022108021172193685,0.012848493970274748,0.0,44.98858447488585,782.4234302863503,0.0,0.31386542210217483,1.4210854715202004e-14
context_ablation,Shuffled History,11,348.1635383963585,55.422374429223744,44.577625570776256,0.02199592943307554,0.012608074947284881,0.07990867579908677,44.49771689497717,774.7893462915715,0.0,0.3124037799725692,1.4210854715202004e-14
context_ablation,Reversed History,11,348.309315353632,55.4337899543379,44.5662100456621,0.021997451020727435,0.01261138891858017,0.07990867579908677,44.486301369863014,774.9383908928619,0.0,0.312390299547398,1.4210854715202004e-14
context_ablation,Zero History,11,347.9407120645046,55.4337899543379,44.5662100456621,0.021988301930184577,0.0126198458642989,0.091324200913242,44.474885844748854,774.5682974431669,0.0,0.31248835379965667,1.4210854715202004e-14
context_ablation,Shuffled Forecast,11,346.89064371585846,55.525114155251146,44.474885844748854,0.02197390792123218,0.012958817036814145,0.05707762557077625,44.417808219178085,773.4871052116528,0.0,0.31256666111157994,1.4210854715202004e-14
context_ablation,Zero Forecast,11,347.4647312760353,55.525114155251146,44.474885844748854,0.021983587464985924,0.012468797589072437,0.01141552511415525,44.4634703196347,774.0507327019208,0.0,0.31265171003294356,1.4210854715202004e-14
forecast_robustness,SF10,11,347.1330355107784,55.4337899543379,44.5662100456621,0.021980266543312837,0.012435628026162453,0.07990867579908677,44.486301369863014,773.7610543666749,0.0,0.3123014694648374,1.4210854715202004e-14
forecast_robustness,SF20,11,347.1227196455002,55.4337899543379,44.5662100456621,0.021980129424334215,0.012449751329389334,0.07990867579908677,44.486301369863014,773.7505893491251,0.0,0.3122987047635307,1.4210854715202004e-14
