seed,total_irrigation_mm_interaction,time_in_target_pct_interaction,violation_rate_pct_interaction,rmse_band_interaction,action_smoothness_interaction,deficit_rate_pct_interaction,surplus_rate_pct_interaction,drainage_total_mm_interaction,runoff_total_mm_interaction,mean_soil_moisture_interaction,max_abs_mass_balance_error_mm_interaction
11,-18.59177514910698,-1.278538812785385,1.2785388127853992,9.719145358670286e-05,-0.0073630367155312,0.0799086757990867,1.1986301369863028,-21.125649664101843,0.0,0.004525950969663406,0.0
22,81.81719580292702,-9.92009132420091,9.920091324200918,0.0016319340334724972,-0.0140760898767016,0.0,9.920091324200918,77.19780472480352,0.0,0.014004114444665372,0.0
33,22.96787315607071,-0.29680365296803757,0.29680365296803757,0.00019239341952129868,0.007040974436210202,0.8447488584474886,-0.5479452054794578,23.82093347530008,0.0,-0.0020268700924298,0.0
44,27.175018221139908,0.5479452054794365,-0.5479452054794507,0.0004925495966275999,0.0038966210734449995,-3.5388127853881275,2.990867579908681,22.33934726152711,0.0,0.010363704133355578,0.0
55,45.417657971382255,-7.009132420091333,7.009132420091333,0.0006104726176261975,0.005404427377093499,1.358447488584475,5.650684931506852,43.76446436690367,0.0,0.008569249072566287,1.421085471520201e-14
66,41.40861964225769,-5.4109589041095845,5.4109589041095845,0.0009967758232038992,-0.0016148621932000982,0.0,5.4109589041095845,38.01350991727281,0.0,0.009567007912845982,0.0
77,7.156611442565918,2.0890410958904084,-2.0890410958904084,-0.00025914239617210247,-0.0016970948951677,0.0,-2.0890410958904084,10.801156960627054,0.0,-0.006772650631296895,0.0
88,-8.702040374278965,-12.043378995433777,12.043378995433805,0.0005563994330691976,0.0059648991542968,14.10958904109589,-2.0662100456621104,19.883408695762682,0.0,-0.008787842186331551,0.0
99,-111.61980524659157,0.8904109589041127,-0.8904109589041056,-0.0010934385938244015,-0.020472729620507203,0.0,-0.8904109589041056,-106.88847092981177,-0.6639285727014794,-0.004343321757716678,-1.421085471520201e-14
110,-24.53734591603279,2.454337899543397,-2.4543378995433756,-0.00043576332138080265,0.0023595035749830982,0.0,-2.4543378995433756,-20.41891066434414,0.0,-0.003666317342722103,0.0
