metric,interaction_mean,interaction_std,beneficial_direction
total_irrigation_mm,6.249200955033319,52.578649677629876,negative
time_in_target_pct,-2.9977168949771675,5.219602304792715,positive
violation_rate_pct,2.9977168949771738,5.219602304792718,negative
rmse_band,0.00027893720657300863,0.000767585474726209,negative
action_smoothness,-0.00205573876850792,0.009248571404789133,negative
deficit_rate_pct,1.2853881278538812,4.686230871819181,negative
surplus_rate_pct,1.712328767123288,4.169044656865676,negative
drainage_total_mm,8.738759414393916,49.91444415282964,negative
runoff_total_mm,-0.06639285727014795,0.2099526493401366,negative
mean_soil_moisture,0.0021433024522599597,0.008182213290370055,context-dependent
max_abs_mass_balance_error_mm,0.0,6.699061157050777e-15,closer-to-zero
