seed,episode,validation_gate,selection_score,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm,cumulative_reward
11,5,False,32.05601092896175,493.1552866101265,34.779143897996356,65.22085610200364,22.72313296903461,42.497723132969035,0.02844131628645455,0.2925350874385851,74.58561899488954,1408.2771549882864,0.008011026859120574,0.0,6.194803306276203,2.842170943040401e-14,-13921.738473983618
11,10,True,53.72267759562842,585.0004988610744,53.72267759562842,46.27732240437158,0.0,46.27732240437158,0.027321533195849217,0.3185947886170617,74.6031670604507,1407.207295388635,0.019743369361418576,0.0,8.066659787790481,2.842170943040401e-14,-4325.694927521638
11,15,True,55.54417122040073,580.0214693248272,55.54417122040073,44.45582877959927,0.0,44.45582877959927,0.0272036516845213,0.3152930817465875,74.79950855150771,1401.8185304634349,0.02682494543739648,0.0,8.411757595247966,2.842170943040401e-14,-3782.3822653143507
11,20,True,58.54963570127505,559.7864746749401,58.54963570127505,41.450364298724956,0.0,41.450364298724956,0.026900159360358212,0.30884384272079124,74.59637209232729,1382.4996389613248,0.027036260994585774,0.0,9.18743169524856,2.842170943040401e-14,-2824.0089065663333
22,5,False,44.79735883424408,700.463290065527,44.79735883424408,55.202641165755914,0.0,55.202641165755914,0.028757874950735302,0.32300353906696117,74.91924741190574,1513.726531283746,0.011004950681118736,0.0,5.617710529315374,2.842170943040401e-14,-8011.465592391942
22,10,True,52.15163934426229,617.3488498032093,52.15163934426229,47.84836065573771,0.0,47.84836065573771,0.027630732510381534,0.319888969646304,75.02657108279296,1438.0365991248755,0.01145573690080648,0.0,7.420439839582229,2.842170943040401e-14,-4953.011452996696
22,15,True,56.69398907103825,622.3822604715824,56.69398907103825,43.30601092896175,0.0,43.30601092896175,0.027484629496597173,0.313608949805541,79.93247854694182,1442.7443564156843,0.028954495998744362,0.0,8.00151340468256,2.842170943040401e-14,-3617.689916247955
22,20,True,58.993624772313304,622.9270288944244,58.993624772313304,41.0063752276867,0.0,41.0063752276867,0.027357966040044607,0.30777222167805646,83.45630798475976,1443.063237878442,0.0342128765680762,0.0,8.318791382671343,2.842170943040401e-14,-2899.2824660622737
33,5,True,51.62795992714025,632.8497010469437,51.62795992714025,48.37204007285975,0.1935336976320583,48.178506375227684,0.027782247159510377,0.31077818008249075,75.05362456096522,1451.595396988616,0.009477284527932487,0.0,7.165998486682704,2.842170943040401e-14,-5253.673148395087
33,10,False,51.33196721311475,648.3674356937408,51.33196721311475,48.66803278688525,0.0,48.66803278688525,0.027938054846682003,0.3229095441868498,78.16474243090455,1465.5581984204614,0.026637686221186698,0.0,6.954389982858185,2.842170943040401e-14,-5412.867078638599
33,15,False,17.859642181810138,1112.7287147939205,54.13251366120219,45.86748633879781,0.0,45.86748633879781,0.03065484056642281,0.3154929220597886,186.73567259742597,1825.5499524002144,0.10654405815365454,0.0,4.273278775663334,2.842170943040401e-14,-5656.3540017588275
33,20,True,58.595173041894355,558.8277127742767,58.595173041894355,41.404826958105645,0.0,41.404826958105645,0.026918053434990243,0.30682119141189834,74.82715396103801,1385.9978933300806,0.015750092382679683,0.0,9.210352103777986,2.842170943040401e-14,-2810.285656427586
