seed,episode,reward,steps,updates,actor_loss,critic_loss,alpha_loss,alpha
22,3,671.0915858694909,1008,509,11.033334732055664,3.7486371994018555,-4.670025825500488,0.04825540632009506
22,4,-893.0781176025803,1344,845,16.50336456298828,0.671177327632904,-5.117316722869873,0.04701719433069229
22,5,-952.3124517962141,1680,1181,17.352312088012695,1.0723326206207275,-3.7378242015838623,0.045796580612659454
22,6,33.60362340344637,2016,1517,22.489622116088867,2.6436092853546143,-3.5031585693359375,0.044643986970186234
22,7,-402.6033229195411,2352,1853,24.370132446289062,9.231691360473633,-2.598487377166748,0.04353344067931175
22,8,671.1393367931248,2688,2189,23.872636795043945,4.003196716308594,-2.6994783878326416,0.042440325021743774
22,9,-834.8104568148943,3024,2525,17.982492446899414,5.860050201416016,-3.2680273056030273,0.04129738360643387
22,10,610.4587913046275,3360,2861,34.599571228027344,9.26637077331543,-1.2354159355163574,0.04024925455451012
22,11,296.3300634109788,3696,3197,26.61528968811035,8.36614990234375,-2.516180992126465,0.039295896887779236
22,12,-1191.04137286019,4032,3533,22.311561584472656,37.89946746826172,-1.9054511785507202,0.038604702800512314
22,13,-666.9163439652871,4368,3869,31.65991973876953,37.33820724487305,-1.6041717529296875,0.037957753986120224
22,14,580.0564582721424,4704,4205,45.42377853393555,21.386690139770508,0.18109524250030518,0.037313949316740036
22,15,-614.6769296462962,5040,4541,37.32575607299805,15.96086597442627,0.6087576150894165,0.036702025681734085
22,16,-529.3084609682968,5376,4877,30.91836929321289,146.78079223632812,-2.2839624881744385,0.036280419677495956
22,17,-1203.4785381882702,5712,5213,39.615760803222656,52.479583740234375,-0.5205789804458618,0.035908930003643036
22,18,-106.28860342514426,6048,5549,42.943782806396484,133.04495239257812,2.273193359375,0.036066699773073196
22,19,-826.3577155726966,6384,5885,45.91018295288086,508.0766906738281,-0.6073727607727051,0.036348938941955566
22,20,671.397402365506,6720,6221,33.176353454589844,118.36067199707031,0.19697925448417664,0.03625337406992912
33,1,-3290.1676031925304,336,0,,,,
33,2,-2286.2467595495077,672,173,9.248878479003906,3.1510705947875977,-4.894012451171875,0.049291420727968216
33,3,47.9640514496784,1008,509,13.566003799438477,1.3632168769836426,-1.9306491613388062,0.04836258292198181
33,4,-315.2818089306823,1344,845,17.798139572143555,1.0015522241592407,-0.9548877477645874,0.047596368938684464
33,5,517.2806760326648,1680,1181,16.6486759185791,1.8504923582077026,-2.2206201553344727,0.046637579798698425
33,6,-444.3714809823894,2016,1517,21.067787170410156,60.6317024230957,-2.139770030975342,0.045543123036623
33,7,150.86737495189908,2352,1853,18.355457305908203,2.4515929222106934,-1.3561121225357056,0.04447723180055618
33,8,-518.2382315085338,2688,2189,26.550678253173828,6.705735206604004,-1.1745154857635498,0.04348274692893028
33,9,562.1364030382596,3024,2525,27.468774795532227,166.25291442871094,-0.43853330612182617,0.04254927113652229
33,10,671.2516258609294,3360,2861,18.156375885009766,19.197647094726562,-1.6721593141555786,0.041584838181734085
33,11,-637.6901933202751,3696,3197,15.489931106567383,25.320415496826172,-0.4740060567855835,0.040679074823856354
33,12,671.0970282635094,4032,3533,23.282630920410156,42.64421844482422,0.3136442303657532,0.039715446531772614
33,13,671.207560170591,4368,3869,30.70579719543457,31.138267517089844,-1.4830152988433838,0.03862832486629486
33,14,671.2287418690321,4704,4205,15.623074531555176,54.98302459716797,-0.17759110033512115,0.03793716058135033
33,15,-505.19700855893916,5040,4541,21.804584503173828,51.472923278808594,-0.24773769080638885,0.03723055124282837
33,16,441.44850926888245,5376,4877,14.48825740814209,155.43600463867188,-0.07378441095352173,0.03740105777978897
33,17,303.04266673910814,5712,5213,8.64583683013916,110.83731079101562,0.8201408386230469,0.03786534070968628
33,18,-430.42248125668056,6048,5549,4.297146797180176,79.26199340820312,1.1397910118103027,0.03846999630331993
33,19,-997.4485338623542,6384,5885,28.163795471191406,229.50189208984375,1.79376220703125,0.03927529975771904
33,20,-927.7039343594865,6720,6221,28.38794708251953,121.87637329101562,1.296337366104126,0.04015743359923363
