registry,slot_id,model,seed,reward_version,training_device,validation_gate,losses_finite,effective_total_interactions,checkpoint,expected_sha256,actual_sha256,checkpoint_exists,hash_verified,freeze_status
main,DDPG|seed=11,DDPG,11,reward_v4,cuda,False,True,6720,Checkpoints/DDPG/ddpg_seed11_best.pt,81881271ec4156996b4edb6c291f85be94d384f237660af8fb8eaf3e254a31f4,81881271ec4156996b4edb6c291f85be94d384f237660af8fb8eaf3e254a31f4,True,True,FROZEN
main,DDPG|seed=22,DDPG,22,reward_v4,cuda,False,True,6720,Checkpoints/DDPG/ddpg_seed22_best.pt,bcd91561238eb78ae8ad52baac85544a21c79cc99eff484392913c7a9e4297a5,bcd91561238eb78ae8ad52baac85544a21c79cc99eff484392913c7a9e4297a5,True,True,FROZEN
main,DDPG|seed=33,DDPG,33,reward_v4,cuda,False,True,6720,Checkpoints/DDPG/ddpg_seed33_best.pt,6a7fabbee54534745bb8b1a43e196f6019d7f895efd788c75b23feda6f924efe,6a7fabbee54534745bb8b1a43e196f6019d7f895efd788c75b23feda6f924efe,True,True,FROZEN
main,DDPG|seed=44,DDPG,44,reward_v4,cuda,True,True,6720,Checkpoints/DDPG/ddpg_seed44_best.pt,262ab9bc1f3f94023dd9d19d8a6d4166873a90a2f9ac3219f326ae2875790fb4,262ab9bc1f3f94023dd9d19d8a6d4166873a90a2f9ac3219f326ae2875790fb4,True,True,FROZEN
main,DDPG|seed=55,DDPG,55,reward_v4,cuda,True,True,6720,Checkpoints/DDPG/ddpg_seed55_best.pt,85c2a567732b28762b6d859be975236f4071ef3bcdfa2fd31d9cb27b19cb01f9,85c2a567732b28762b6d859be975236f4071ef3bcdfa2fd31d9cb27b19cb01f9,True,True,FROZEN
main,DDPG|seed=66,DDPG,66,reward_v4,cuda,True,True,6720,Checkpoints/DDPG/ddpg_seed66_best.pt,c998fdb9a177131fc6f2a1fef33b7cb4f9e7786b8df46cc6f1e9883a593b5295,c998fdb9a177131fc6f2a1fef33b7cb4f9e7786b8df46cc6f1e9883a593b5295,True,True,FROZEN
main,DDPG|seed=77,DDPG,77,reward_v4,cuda,True,True,6720,Checkpoints/DDPG/ddpg_seed77_best.pt,e22394c991c5a25e69a949e5db435ea24db030de6d373b01cb1b31815e40fdcf,e22394c991c5a25e69a949e5db435ea24db030de6d373b01cb1b31815e40fdcf,True,True,FROZEN
main,DDPG|seed=88,DDPG,88,reward_v4,cuda,False,True,6720,Checkpoints/DDPG/ddpg_seed88_best.pt,92323fd385e46cda48de07c67a13d7540b95ba00f85ad294d2cfa485a6dda5d8,92323fd385e46cda48de07c67a13d7540b95ba00f85ad294d2cfa485a6dda5d8,True,True,FROZEN
main,DDPG|seed=99,DDPG,99,reward_v4,cuda,False,True,6720,Checkpoints/DDPG/ddpg_seed99_best.pt,269a465058b0bed2f450e8c122a53616d3b4a691b0b0f2c7703da850b54f7ab6,269a465058b0bed2f450e8c122a53616d3b4a691b0b0f2c7703da850b54f7ab6,True,True,FROZEN
main,DDPG|seed=110,DDPG,110,reward_v4,cuda,False,True,6720,Checkpoints/DDPG/ddpg_seed110_best.pt,9b6a3eb88baebffdd4cb3e1f53121a7f33de9a3007663ad9ed691b9082e31e82,9b6a3eb88baebffdd4cb3e1f53121a7f33de9a3007663ad9ed691b9082e31e82,True,True,FROZEN
main,TD3|seed=11,TD3,11,reward_v4,cuda,False,True,6720,Checkpoints/TD3/td3_seed11_best.pt,3ce1c3cd092c72107f3d141a11e66628f47a30020fe9fcd592a321a0f2e2f724,3ce1c3cd092c72107f3d141a11e66628f47a30020fe9fcd592a321a0f2e2f724,True,True,FROZEN
main,TD3|seed=22,TD3,22,reward_v4,cuda,True,True,6720,Checkpoints/TD3/td3_seed22_best.pt,ced943bafa3b4e3fc755f0de7981136338d6ab8b8832e2781ee2da887a3b5b24,ced943bafa3b4e3fc755f0de7981136338d6ab8b8832e2781ee2da887a3b5b24,True,True,FROZEN
main,TD3|seed=33,TD3,33,reward_v4,cuda,False,True,6720,Checkpoints/TD3/td3_seed33_best.pt,9797a71ddbb5296d5c4b621a47a10ed5e8f2ca1e048b3d0b5eb8785896dcfd99,9797a71ddbb5296d5c4b621a47a10ed5e8f2ca1e048b3d0b5eb8785896dcfd99,True,True,FROZEN
main,TD3|seed=44,TD3,44,reward_v4,cuda,False,True,6720,Checkpoints/TD3/td3_seed44_best.pt,73f88b2b9924aefcb0bf3f37bf71f24f0bac1df9f23f4afd675fe99d7b2bd538,73f88b2b9924aefcb0bf3f37bf71f24f0bac1df9f23f4afd675fe99d7b2bd538,True,True,FROZEN
main,TD3|seed=55,TD3,55,reward_v4,cuda,False,True,6720,Checkpoints/TD3/td3_seed55_best.pt,fbd53c657caad392edbe7cd0ad716e2291aee90a20fa0ef6cae097b5db7867a1,fbd53c657caad392edbe7cd0ad716e2291aee90a20fa0ef6cae097b5db7867a1,True,True,FROZEN
main,TD3|seed=66,TD3,66,reward_v4,cuda,False,True,6720,Checkpoints/TD3/td3_seed66_best.pt,2c92118f55708a6dbeece708fd6754d2592a48cec42c8781f2f53191f34669fa,2c92118f55708a6dbeece708fd6754d2592a48cec42c8781f2f53191f34669fa,True,True,FROZEN
