experiment_id,experiment_family,module,algorithm_family,model,seed,split,period_start,period_end,reward_version,virtual_garden_version,observation_version,forecast_enabled,memory_enabled,forecast_protocol,forecast_error,forecast_horizon,sequence_length,checkpoint,checkpoint_hash,validation_gate,steps,environment_interactions,training_budget_version,total_water_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,action_smoothness,mean_soil_moisture,runoff_total_mm,drainage_total_mm,reward_mean,mass_balance_error,git_commit,source_result_status,result_status
8H_main_confirmatory_td3_seed11,main_confirmatory,8H,TD3,TD3,11,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed11_best.pt,3ce1c3cd092c72107f3d141a11e66628f47a30020fe9fcd592a321a0f2e2f724,False,8760,6720,fair6720,362.9332956969738,53.53881278538813,46.46118721461187,0.0,46.46118721461187,0.0222617713954794,0.0169168330277328,0.3194911221778379,0.0,790.2942122976892,-0.2093507969724065,2.8421709430404014e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_td3_seed22,main_confirmatory,8H,TD3,TD3,22,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed22_best.pt,ced943bafa3b4e3fc755f0de7981136338d6ab8b8832e2781ee2da887a3b5b24,True,8760,6720,fair6720,352.46424090862274,54.06392694063927,45.93607305936073,0.0,45.93607305936073,0.0221263411757544,0.0136468182695906,0.3171288521814641,0.0,779.4382707966471,-0.18450239032275212,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_td3_seed33,main_confirmatory,8H,TD3,TD3,33,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed33_best.pt,9797a71ddbb5296d5c4b621a47a10ed5e8f2ca1e048b3d0b5eb8785896dcfd99,False,8760,6720,fair6720,0.0015901029109954,29.8972602739726,70.1027397260274,33.68721461187214,36.41552511415525,0.0312326561404595,2.182690924957934e-07,0.2714834289756707,0.0,686.2470287420458,-2.9703336031255416,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_td3_seed44,main_confirmatory,8H,TD3,TD3,44,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed44_best.pt,73f88b2b9924aefcb0bf3f37bf71f24f0bac1df9f23f4afd675fe99d7b2bd538,False,8760,6720,fair6720,366.9730603694916,51.24429223744292,48.75570776255708,0.0,48.75570776255708,0.0223658292998365,0.0108586366195114,0.323395601382733,0.0,793.2537255369735,-0.2788745416501151,2.8421709430404014e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_td3_seed55,main_confirmatory,8H,TD3,TD3,55,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed55_best.pt,fbd53c657caad392edbe7cd0ad716e2291aee90a20fa0ef6cae097b5db7867a1,False,8760,6720,fair6720,367.8567791879177,52.63698630136986,47.36301369863013,0.0,47.36301369863013,0.022382536658515,0.0104176117814775,0.3215638946410628,0.0,794.7912166765421,-0.2451549861151735,2.8421709430404014e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_td3_seed66,main_confirmatory,8H,TD3,TD3,66,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed66_best.pt,2c92118f55708a6dbeece708fd6754d2592a48cec42c8781f2f53191f34669fa,False,8760,6720,fair6720,0.0166785717010498,29.8972602739726,70.1027397260274,33.68721461187214,36.41552511415525,0.0312320215782199,2.3097735532465992e-06,0.27148436322313,0.0,686.2490353985895,-2.9702173454564846,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_td3_seed77,main_confirmatory,8H,TD3,TD3,77,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed77_best.pt,802b4d6559605461e8648692c4362aa407c485367ae56e7cb6c0dfb014c592ab,True,8760,6720,fair6720,311.22181686758995,57.53424657534247,42.465753424657535,0.0,42.465753424657535,0.0214151912144308,0.0180509054153147,0.308290036216615,0.0,743.199007574178,-0.026732221557279143,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_td3_seed88,main_confirmatory,8H,TD3,TD3,88,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed88_best.pt,2408e5fb4331038127a6dcc776aea31d5b44a077cc9b5fc363f9d15e73779068,False,8760,6720,fair6720,0.0156587362289428,29.8972602739726,70.1027397260274,33.68721461187214,36.41552511415525,0.0312320761507249,2.129612236837367e-06,0.2714842417306942,0.0,686.2495940206222,-2.97023487137124,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_td3_seed99,main_confirmatory,8H,TD3,TD3,99,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed99_best.pt,06636fecf4c2b5d9a9f537aa375bc674bcd1c48c2d23331cfb327ece50ce4508,False,8760,6720,fair6720,0.0418348610401153,29.8972602739726,70.1027397260274,33.68721461187214,36.41552511415525,0.0312310130497319,5.448221112375513e-06,0.2714858744293276,0.0,686.2536389458226,-2.9700424830161287,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_td3_seed110,main_confirmatory,8H,TD3,TD3,110,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed110_best.pt,553a426d1bdbe843e40ea725660b471dd1af93d88611a7b39d7782b942a00ee6,False,8760,6720,fair6720,0.001106858253479,29.8972602739726,70.1027397260274,33.68721461187214,36.41552511415525,0.0312326606309864,1.801953412093097e-07,0.2714834001145602,0.0,686.2467246213166,-2.9703344875319777,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
