seed,episode,validation_gate,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm,cumulative_reward
11,5,False,0.027024000883102417,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.04302952586182491,0.2648132837709343,74.20479426229879,1304.0199230404419,3.0580209488615176e-06,0.0,77486.67597584847,2.842170943040401e-14,-43083.95531720562
11,10,False,0.007780790328979492,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.04303016141514837,0.2648118544003984,74.20479321976451,1304.0173440656608,9.818004066113743e-07,0.0,269124.3320361575,2.842170943040401e-14,-43085.17609267658
11,15,False,0.0014947354793548584,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.04303039445098538,0.26481140672079845,74.20479313296882,1304.0166885070732,2.1256592120883217e-07,0.0,1400916.7701724654,2.842170943040401e-14,-43085.60307090246
11,20,False,0.0005610287189483643,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.043030431952608146,0.2648113446083652,74.2047931326609,1304.0166058538089,8.506708667420261e-08,0.0,3732429.24876494,2.842170943040401e-14,-43085.668793868055
22,5,False,0.3955283761024475,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.04301628598370061,0.264831493503619,74.20490267276394,1304.1175933953982,4.3031000865696094e-05,0.0,5294.183999222408,2.842170943040401e-14,-43064.873578385916
22,10,False,469.2648101747036,42.759562841530055,57.240437158469945,15.346083788706741,41.8943533697632,0.028297682220957864,0.2997240811903382,74.20506914773402,1371.9856653222666,0.019062538947356558,0.0,8.004009502868264,2.842170943040401e-14,-11086.910068437857
22,15,False,468.89676743745804,45.947176684881605,54.052823315118395,14.59471766848816,39.45810564663024,0.02753827210853808,0.2956652684527354,74.20503720630457,1355.759811682779,0.019545168190139253,0.0,8.607438311116798,2.842170943040401e-14,-8802.12380887324
22,20,False,479.71388506889343,45.787795992714024,54.21220400728597,13.524590163934427,40.68761384335155,0.027511447157168006,0.2977379135837829,74.20503747618052,1358.6106693244783,0.02785349052709449,0.0,8.384164238694876,2.842170943040401e-14,-8510.890120043365
33,5,False,0.041114240884780884,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.043029355035149,0.26481385924167283,74.2048079454975,1304.0306454812562,4.123361509996979e-06,0.0,50931.25775733655,2.842170943040401e-14,-43083.829868088986
33,10,False,0.005939453840255737,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.04303025731773817,0.26481166985062365,74.20479411777735,1304.0180866535557,6.666416108275714e-07,0.0,352557.6688225997,2.842170943040401e-14,-43085.39106419294
33,15,False,0.0016610324382781982,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.043030394890536706,0.2648114071137255,74.20479327166844,1304.0169274233501,1.9778861117827163e-07,0.0,1260661.7136090428,2.842170943040401e-14,-43085.61458421713
33,20,False,0.00041678547859191895,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.04303043949306706,0.2648113340512699,74.20479315472674,1304.0166412703445,5.446058002077989e-08,0.0,5024167.365606006,2.842170943040401e-14,-43085.68433713642
