seed,episode,reward,steps,updates,policy_updates,actor_loss,critic_loss,actor_updated,target_noise_abs_max
11,1,-3132.1907835992392,336,0,0,,,,
11,2,-2306.049393400336,672,173,86,7.691396713256836,11.142791748046875,False,0.4844559133052826
11,3,-685.2470221583139,1008,509,254,8.498388290405273,0.649631917476654,False,0.5
11,4,-868.1498982571555,1344,845,422,9.917722702026367,0.3435738682746887,False,0.5
11,5,-37.96941124100268,1680,1181,590,12.891098976135254,0.8828508853912354,False,0.5
11,6,652.4001438739526,2016,1517,758,9.295919418334961,0.8045681715011597,False,0.47332674264907837
11,7,-1222.2189940095775,2352,1853,926,15.078737258911133,9.419471740722656,False,0.5
11,8,-1423.2325985664497,2688,2189,1094,14.309072494506836,0.9118607044219971,False,0.5
11,9,-175.51752996678098,3024,2525,1262,17.622220993041992,8.79825210571289,False,0.5
11,10,-1644.297851655937,3360,2861,1430,19.24945068359375,3.285048484802246,False,0.5
11,11,-973.8088328328379,3696,3197,1598,21.939638137817383,5.33026123046875,False,0.38792216777801514
11,12,-925.6253189104409,4032,3533,1766,30.733869552612305,29.694053649902344,False,0.5
11,13,-847.2976124892937,4368,3869,1934,29.805768966674805,34.608802795410156,False,0.47992587089538574
11,14,-565.3927628994186,4704,4205,2102,21.17262077331543,40.00293731689453,False,0.5
11,15,-476.40435700402264,5040,4541,2270,28.748313903808594,9.539729118347168,False,0.40825653076171875
11,16,-790.8915331156782,5376,4877,2438,27.199241638183594,20.98487091064453,False,0.5
11,17,-751.7342132288604,5712,5213,2606,28.284875869750977,18.27112579345703,False,0.400595486164093
11,18,-808.1448390171092,6048,5549,2774,29.785282135009766,13.311655044555664,False,0.3914959728717804
11,19,-833.8740327921162,6384,5885,2942,29.035213470458984,24.373210906982422,False,0.44594907760620117
11,20,-966.2696153370741,6720,6221,3110,33.70729446411133,10.561606407165527,False,0.455070823431015
22,1,-3155.8920509410277,336,0,0,,,,
22,2,-2205.5777365451368,672,173,86,6.891761302947998,12.198478698730469,False,0.5
22,3,593.7626760185096,1008,509,254,6.191837787628174,1.5270116329193115,False,0.5
22,4,-1048.623090677715,1344,845,422,9.237083435058594,0.6831874251365662,False,0.49391165375709534
22,5,-1054.0599176900416,1680,1181,590,10.03491497039795,0.7772223353385925,False,0.5
22,6,-712.1044290808898,2016,1517,758,12.661582946777344,1.7963073253631592,False,0.4604352116584778
22,7,-758.0401125617219,2352,1853,926,16.414873123168945,3.8742198944091797,False,0.5
22,8,645.9792583105778,2688,2189,1094,14.484762191772461,1.1625248193740845,False,0.5
22,9,-1106.164971892203,3024,2525,1262,14.981422424316406,2.079960584640503,False,0.41598406434059143
22,10,-769.0560028749181,3360,2861,1430,18.214876174926758,2.740478515625,False,0.5
22,11,-848.1878361097262,3696,3197,1598,21.205463409423828,2.833400249481201,False,0.5
22,12,-1471.9194868063764,4032,3533,1766,24.226001739501953,9.81586742401123,False,0.4431206285953522
22,13,-1021.9166799362913,4368,3869,1934,16.361026763916016,10.591745376586914,False,0.5
22,14,-729.6722688209597,4704,4205,2102,23.011764526367188,5.915963649749756,False,0.4747495651245117
22,15,-1201.7192020382631,5040,4541,2270,26.81496810913086,4.175878524780273,False,0.4603053629398346
22,16,-849.549189500575,5376,4877,2438,25.601375579833984,47.05398941040039,False,0.38105782866477966
22,17,-1378.79817395242,5712,5213,2606,31.72177505493164,16.12704086303711,False,0.36618664860725403
22,18,-1092.8891507945316,6048,5549,2774,39.63298034667969,35.640663146972656,False,0.5
22,19,-1378.5146244651548,6384,5885,2942,35.38508987426758,161.49853515625,False,0.5
22,20,-170.52548762859357,6720,6221,3110,33.389198303222656,35.187042236328125,False,0.5
33,1,-3290.1676031925304,336,0,0,,,,
33,2,-2298.404056446073,672,173,86,8.099260330200195,2.671902894973755,False,0.4934345781803131
33,3,-720.0628972582474,1008,509,254,8.571969985961914,0.851306676864624,False,0.5
33,4,-730.399371954832,1344,845,422,11.578569412231445,0.4577445387840271,False,0.5
33,5,-708.1809383237077,1680,1181,590,11.943670272827148,0.3697603940963745,False,0.5
33,6,-1207.5790937858774,2016,1517,758,12.903472900390625,14.451700210571289,False,0.4336119294166565
33,7,-799.5165598033497,2352,1853,926,16.299068450927734,0.6021325588226318,False,0.5
33,8,-753.9372204029596,2688,2189,1094,15.961756706237793,0.9384735226631165,False,0.4793631136417389
33,9,-418.67699934131275,3024,2525,1262,21.475845336914062,46.052818298339844,False,0.4431527256965637
33,10,-358.1669653129629,3360,2861,1430,21.310815811157227,2.3648202419281006,False,0.3757128119468689
33,11,-875.1735734222896,3696,3197,1598,22.519428253173828,4.896106719970703,False,0.4703470766544342
33,12,503.7816866336724,4032,3533,1766,24.48895263671875,9.255666732788086,False,0.46051278710365295
33,13,130.3923077282618,4368,3869,1934,20.905860900878906,5.113944053649902,False,0.5
33,14,323.9672060016217,4704,4205,2102,21.505260467529297,9.451628684997559,False,0.5
33,15,-881.7559544817568,5040,4541,2270,23.018966674804688,10.253278732299805,False,0.5
33,16,-783.7100266775736,5376,4877,2438,29.06113624572754,44.191368103027344,False,0.5
33,17,-971.9123943524598,5712,5213,2606,25.85537338256836,22.01700782775879,False,0.4705258309841156
33,18,-1040.214128539873,6048,5549,2774,25.04892349243164,48.40394592285156,False,0.5
33,19,-1354.6670198323595,6384,5885,2942,24.953203201293945,75.24101257324219,False,0.5
33,20,-1290.3257348397922,6720,6221,3110,38.78475570678711,21.22415542602539,False,0.5
