seed,episode,validation_gate,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm,cumulative_reward
11,5,False,0.5251982808113098,23.850182149362478,76.14981785063752,38.137522768670316,38.01229508196721,0.04301471297397363,0.2648488103394267,74.20489890762563,1304.130032644135,4.343933645446249e-05,0.0,3988.9696454522086,2.842170943040401e-14,-43054.43842518496
11,10,False,576.912684828043,52.15163934426229,47.84836065573771,0.0,47.84836065573771,0.027418675466520846,0.32162931103248205,74.20520577402537,1400.4305240648819,0.021171591547373473,0.0,7.94054303272155,2.842170943040401e-14,-4900.051238435799
11,15,False,561.831701874733,54.189435336976324,45.810564663023676,0.0,45.810564663023676,0.027114621762060538,0.322808408179498,74.20504131339841,1383.811401361298,0.01911482430734084,0.0,8.472288025251553,2.842170943040401e-14,-4054.2885046887677
11,20,False,555.4942826330662,56.329690346083794,43.67030965391621,0.0,43.67030965391621,0.02702892113739352,0.32115350349664235,74.20503810561932,1378.4810307698926,0.022560768008408564,0.0,8.907382406433191,2.842170943040401e-14,-3516.3463318128825
22,5,False,2.4743714928627014,23.816029143897996,76.18397085610201,38.137522768670316,38.04644808743169,0.04295760383407494,0.2649448814138721,74.20590030464841,1304.8409702541164,0.00018982270794659666,0.0,845.4672251253912,2.842170943040401e-14,-42976.39693914858
22,10,False,596.6907081305981,48.440346083788704,51.55965391621129,0.0,51.55965391621129,0.02769417645703165,0.3278391108994091,74.20607584840552,1414.1680921517238,0.01623498282195848,0.0,7.130997587226891,2.842170943040401e-14,-6074.090964230985
22,15,True,548.4229433238506,57.42258652094717,42.57741347905282,0.0,42.57741347905282,0.0268397432253056,0.31510898843336893,74.2051137056202,1371.2468652727612,0.021255016204749726,0.0,9.197281152078743,2.842170943040401e-14,-3045.157425008537
22,20,True,516.5096061825752,55.669398907103826,44.330601092896174,4.770036429872496,39.560564663023676,0.026668143105952353,0.3026906261071967,74.20504076821557,1352.0714430784144,0.035171919788299574,0.0,9.4673941035503,2.842170943040401e-14,-3698.9555982191578
33,5,False,0.30274122953414917,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.04302380636317673,0.26482975344584736,74.20498714688436,1304.14015016564,2.771597319551607e-05,0.0,6916.7982280517135,2.842170943040401e-14,-43073.6739247982
33,10,False,0.020114630460739136,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.04302993275690403,0.2648126245761762,74.20480090338937,1304.0233387527333,2.240755964381459e-06,0.0,104103.32936949484,2.842170943040401e-14,-43084.771496129186
33,15,False,0.006598830223083496,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.043030269981193865,0.26481174980636585,74.20479502066281,1304.0185613395483,7.848261592464975e-07,0.0,317328.97031885106,2.842170943040401e-14,-43085.380227296315
33,20,False,0.002321600914001465,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.04303038710823494,0.2648114677828761,74.20479371979054,1304.0172091623897,2.939344388971999e-07,0.0,901963.8075481387,2.842170943040401e-14,-43085.58787643307
