analysis_family,comparison,n_pairs,mean_difference_pp,sd_difference_pp,bootstrap_ci95_low_pp,bootstrap_ci95_high_pp,t_ci95_low_pp,t_ci95_high_pp,t,df,p_raw,cohens_dz,exact_sign_flip_p,p_holm,significant_holm_0_05,exact_sign_flip_p_holm,exact_significant_holm_0_05,primary_test,primary_p_raw,primary_p_holm,primary_significant_0_05
main_benchmark,SACSI-POMDP - SAC,10,0.9018264840182646,1.024645392885308,0.33561643835616195,1.5308504566210068,0.16883932604673457,1.6348136419897945,2.7832319000905015,9,0.02128801411584255,0.8801352060724182,0.015625,0.029112202954516525,True,0.046875,True,exact paired sign-flip,0.015625,0.046875,True
main_benchmark,SACSI-POMDP - TD3,10,13.167808219178085,13.214227634605725,5.401683789954339,20.85402397260273,3.714919223694478,22.62069721466169,3.1511690971510085,9,0.011715488175573635,0.9964871639333595,0.01953125,0.029112202954516525,True,0.046875,True,exact paired sign-flip,0.01953125,0.046875,True
main_benchmark,SACSI-POMDP - DDPG,10,13.739726027397262,13.292705924784658,5.659760273972603,21.10525114155249,4.230697045065387,23.248755009729138,3.268621823060174,9,0.009704067651505508,1.0336289770602027,0.017578125,0.029112202954516525,True,0.046875,True,exact paired sign-flip,0.017578125,0.046875,True
factorial_pairwise,SACSI Full - SAC Basic,10,0.9018264840182646,1.024645392885308,0.34474885844748826,1.5274257990867588,0.16883932604673457,1.6348136419897945,2.7832319000905015,9,0.02128801411584255,0.8801352060724182,0.015625,0.06386404234752764,False,0.046875,True,exact paired sign-flip,0.015625,0.046875,True
factorial_pairwise,SACSI Full - SAC + Forecast,10,1.7591324200913234,2.746152670870328,0.44631849315068745,3.576541095890408,-0.2053468578655513,3.723611698048198,2.02569406003553,9,0.07344354233358043,0.6405807072386139,0.0234375,0.14688708466716086,False,0.046875,True,exact paired sign-flip,0.0234375,0.046875,True
factorial_pairwise,SACSI Full - SAC + LSTM,10,0.6438356164383571,2.2798314938878153,-0.5662100456621004,2.0879280821917816,-0.9870575871637087,2.2747288200404228,0.8930427499322632,9,0.39508569796494414,0.2824049137686132,0.451171875,0.39508569796494414,False,0.451171875,False,exact paired sign-flip,0.451171875,0.451171875,False
