comparison,n_pairs,mean_difference_pp,sd_difference_pp,bootstrap_ci95_low_pp,bootstrap_ci95_high_pp,t_ci95_low_pp,t_ci95_high_pp,t,df,p_raw,cohens_dz,exact_sign_flip_p,p_holm,significant_holm_0_05,exact_sign_flip_p_holm,exact_significant_holm_0_05,bootstrap_t_inference_discordant
SACSI Full - SAC Basic,10,1.7499999999999978,1.821888641334944,0.7237442922374413,2.8607591324200903,0.4466993785115343,3.0533006214884613,3.037499537424947,9,0.014074754850417495,0.9605416929970695,0.0078125,0.042224264551252486,True,0.0234375,True,False
SACSI Full - SAC + Forecast,10,-1.5445205479452064,3.5342233459999055,-3.663270547945205,0.46578196347031864,-4.072751625748989,0.9837105298585755,-1.3819734482729211,9,0.20031268057809495,-0.43701837624193196,0.205078125,0.3609164951140153,False,0.265625,False,False
SACSI Full - SAC + LSTM,10,0.29680365296803685,0.6464095345306844,-0.03538812785387863,0.7134703196347025,-0.16560987164377106,0.7592171775798447,1.4519828546752942,9,0.18045824755700765,0.4591572944287193,0.1328125,0.3609164951140153,False,0.265625,False,False
