effect,n_seeds,unit,mean_effect,sd_effect,bootstrap_ci95_low,bootstrap_ci95_high,t_ci95_low,t_ci95_high,F,df1,df2,p_value,partial_eta_squared,exact_sign_flip_p,significant_alpha_0_05,bootstrap_t_inference_discordant
Forecast main effect,10,percentage points,1.795662100456621,2.696197043966238,0.28136415525114206,3.4286529680365283,-0.13308107480231923,3.724405275715561,4.435534652264344,1,9,0.06447978469761868,0.33013458467146345,0.091796875,False,True
Memory main effect,10,percentage points,-0.04566210045662018,1.0969600943867803,-0.7009132420091326,0.5844891552511416,-0.8303800795504357,0.7390558786371952,0.017327268789256414,1,9,0.8981701991163087,0.001921552614512451,0.90625,False,False
Forecast x Memory interaction,10,percentage points,-2.9977168949771675,5.219602304792715,-6.240867579908672,-0.1267123287671211,-6.731595450131033,0.7361616601766987,3.2984233992441707,1,9,0.10272755801550902,0.2681988814474287,0.115234375,False,True
