experiment,condition,n_seeds,total_irrigation_mm_mean,total_irrigation_mm_std,time_in_target_pct_mean,time_in_target_pct_std,violation_rate_pct_mean,violation_rate_pct_std,rmse_band_mean,rmse_band_std,action_smoothness_mean,action_smoothness_std,deficit_rate_pct_mean,deficit_rate_pct_std,surplus_rate_pct_mean,surplus_rate_pct_std,drainage_total_mm_mean,drainage_total_mm_std,runoff_total_mm_mean,runoff_total_mm_std,mean_soil_moisture_mean,mean_soil_moisture_std,max_abs_mass_balance_error_mm_mean,max_abs_mass_balance_error_mm_std
context_ablation,Full,10,359.8306940495968,41.70476986884625,55.265981735159826,4.001267937332467,44.73401826484018,4.001267937332467,0.021989601588106512,0.0006578502831889664,0.01710208870120919,0.00823566859366179,1.0570776255707763,2.6041701677728533,43.676940639269404,3.208818398376938,791.9176115857156,38.737603680602504,0.0,0.0,0.3083715557610939,0.007332350016552539,1.5631940186722205e-14,4.4938668397781774e-15
context_ablation,No History,10,371.6475044548512,46.689329684358576,54.44748858447489,4.547160925410103,45.55251141552511,4.547160925410102,0.022186460372712668,0.0007283310014863224,0.018281393695100828,0.008980105716825493,1.3390410958904109,3.4111778092636436,44.2134703196347,3.5821087968104472,804.1884607375748,44.52595722753786,0.0,0.0,0.30945077573182256,0.007598860499592067,1.7053025658242404e-14,5.9918224530375704e-15
context_ablation,No Forecast,10,368.88619187772275,50.749087365881756,54.40525114155251,4.86985537242068,45.594748858447495,4.869855372420681,0.02214136092214494,0.0007556553386316966,0.017737055635640087,0.009402068622255672,1.4235159817351597,3.766516140363192,44.171232876712324,3.766097672602539,801.5992347173099,47.972663814231154,0.0,0.0,0.30919275359599274,0.008042535529987517,1.5631940186722205e-14,4.4938668397781774e-15
context_ablation,No Context,10,383.6516698628664,57.61568305525069,53.515981735159826,5.450054851779375,46.48401826484018,5.450054851779372,0.022375226996706937,0.0008537914642029985,0.019167739399247877,0.010420690354619313,1.5901826484018264,4.180891982146828,44.89383561643835,4.386708536912195,816.8350368265858,55.57692514611441,0.0,0.0,0.31026932291559245,0.008489180865200632,1.7053025658242404e-14,5.9918224530375704e-15
context_ablation,Shuffled History,10,365.4699124157429,46.18120853430618,55.07420091324201,4.156234551422669,44.92579908675799,4.156234551422667,0.02205780845583225,0.0007020729060720581,0.0191618054734339,0.008601438000753513,1.125570776255708,2.7869949869351336,43.800228310502284,3.3284188193254245,797.6518474207658,43.27667985477483,0.0,0.0,0.30846710873103095,0.0074555553853438,1.7053025658242404e-14,5.9918224530375704e-15
context_ablation,Reversed History,10,365.37834503650663,45.770134931415534,55.12785388127854,4.05884948947049,44.87214611872146,4.058849489470489,0.022054912204176515,0.0006954136641802918,0.018442058309407417,0.009001702742486588,1.0810502283105023,2.67540365916111,43.79109589041096,3.2667087516811355,797.4778242200161,42.88253589725578,0.0,0.0,0.30853298178055455,0.0073750898413546505,2.1316282072803006e-14,7.489778066296963e-15
context_ablation,Zero History,10,367.1412359505892,48.6606278796435,54.60616438356165,4.83078398460145,45.39383561643836,4.8307839846014495,0.022126905275441706,0.0007517490734672208,0.017991580251948393,0.009073585380584101,1.4554794520547945,3.7515677866433763,43.93835616438356,3.656006948797172,800.2800280738795,46.16363128735224,0.0,0.0,0.30892189648429513,0.007664462396083482,1.7053025658242404e-14,5.9918224530375704e-15
context_ablation,Shuffled Forecast,10,361.32442125976087,44.47072999731782,54.965753424657535,4.646195073649897,45.034246575342465,4.646195073649898,0.022037054780986418,0.0006928895865352787,0.019197988998727964,0.008217925363174321,1.4406392694063928,3.7800571289518174,43.593607305936075,3.2564286913597322,794.4771100304386,42.302361015377755,0.0,0.0,0.3084200273912022,0.007577678961772411,1.7053025658242404e-14,5.9918224530375704e-15
context_ablation,Zero Forecast,10,363.1645522803068,46.94157714519766,54.7648401826484,4.725289589145803,45.2351598173516,4.725289589145803,0.022070885199643436,0.000717753186110265,0.01737924185275814,0.008963127462864403,1.4577625570776256,3.860807363919349,43.77739726027397,3.428846795061913,796.3773894857744,44.32549127846853,0.0,0.0,0.30863256274874484,0.007825189346667902,1.8474111129762605e-14,6.864494985445161e-15
forecast_robustness,SF10,10,359.88433366119864,41.80505794855682,55.25684931506849,4.00824665113796,44.74315068493151,4.008246651137959,0.02199056136360206,0.0006587903065376843,0.01700398656573112,0.008293535725030698,1.0627853881278537,2.621947569529014,43.68036529680366,3.2075174456908826,791.9738561215072,38.83126701105961,0.0,0.0,0.3083770249695986,0.007339538353276698,1.5631940186722205e-14,4.4938668397781774e-15
