effect,n_seeds,unit,mean_effect,sd_effect,bootstrap_ci95_low,bootstrap_ci95_high,t_ci95_low,t_ci95_high,F,df1,df2,p_value,partial_eta_squared,exact_sign_flip_p,significant_alpha_0_05,exact_sign_flip_p_holm,exact_significant_holm_0_05
Forecast main effect,10,percentage points,-0.10673515981735093,0.8953975889618228,-0.6324343607305927,0.42180365296803685,-0.7472640086706734,0.5337936890359716,0.14209643039838765,1,9,0.714940117368857,0.015543090305403339,0.71484375,False,0.96484375,False
Memory main effect,10,percentage points,1.0085616438356155,0.7287285241370939,0.579337899543377,1.437785388127851,0.4872606615163353,1.5298626261548958,19.154611902462143,1,9,0.0017799096128567693,0.6803365632891945,0.005859375,True,0.017578125,True
Forecast x Memory interaction,10,percentage points,1.501141552511416,5.008163313258532,-0.8653253424657562,4.7705479452054815,-2.0814826598569995,5.083765764879832,0.8984343091323748,1,9,0.3679560342787995,0.0907652949015858,0.482421875,False,0.96484375,False
