variant,seed,forecast,memory,evaluation_split,result_status,checkpoint,checkpoint_sha256,checkpoint_validation_gate,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm,cumulative_reward,reward_version,training_device,new_interactions,base_anchor_interactions,effective_total_interactions
SACSI Full,11,True,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed11_best.pt,f7334b7143035614558fb80e78b61ddb63a3204ab3420e58dfe118f7b42c8cf7,True,358.0689211189747,54.965753424657535,45.03424657534247,0.0221390340778627,0.0173221019519111,0.0,45.03424657534247,784.3496554751598,0.0,0.3143605043323005,1.4210854715202004e-14,-1423.4152295392396,reward_v4,cuda,6720,6720,13440
SACSI Full,22,True,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed22_best.pt,8af5b9d69e4d1eb7187854f9c3a6575ec1935e0443b5df4f7011202e50497f54,True,394.6850163936615,56.267123287671225,43.73287671232877,0.0222897324041581,0.0297535447235153,0.0,43.73287671232877,824.3504911951243,0.0,0.3059615287695921,1.4210854715202004e-14,-974.0627560128067,reward_v4,cuda,6720,6720,13440
SACSI Full,33,True,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed33_best.pt,4084a79674549b2645ba263c026409dbaefdfe27c2d6b004f2030e962773c19f,True,344.1287980377674,55.81050228310502,44.18949771689498,0.0219482942003519,0.0092861546591164,0.0,44.18949771689498,773.8239274937941,0.0,0.306555749619147,1.4210854715202004e-14,-1051.7821780945033,reward_v4,cuda,6720,6720,13440
SACSI Full,44,True,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed44_best.pt,52f140e8235d8dbd7327943490a41386ba227bdde56e1580817cddb9bce0af81,True,341.1855608224869,57.089041095890416,42.91095890410959,0.0217753993855761,0.01115235419888,0.0,42.91095890410959,773.4771845428659,0.0,0.3088710018802939,1.4210854715202004e-14,-542.7144731519284,reward_v4,cuda,6720,6720,13440
SACSI Full,55,True,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed55_best.pt,ee354266e16c443b84384b19a269b6eb19e1fe6cd381e8992045a33f783f5c7b,True,372.7864509522915,55.60502283105024,44.39497716894977,0.0222247049384147,0.0207210731147045,0.0,44.39497716894977,802.9212480459258,0.0,0.3122676644154281,1.4210854715202004e-14,-1191.0832371246966,reward_v4,cuda,6720,6720,13440
SACSI Full,66,True,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed66_best.pt,d35b62ffb603072d092cf34db327cba7c08c29df71d36ccd22967fc908a420fc,True,353.97741597890854,55.4337899543379,44.5662100456621,0.0220483586394338,0.0122611634412004,0.0,44.5662100456621,783.4113054376896,0.0,0.313514622460284,1.4210854715202004e-14,-1184.7142174881642,reward_v4,cuda,6720,6720,13440
SACSI Full,77,True,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed77_best.pt,791422c2f7c852dc85751bf6ea62c470efa71a917296413f0617cbfd788fd1fd,True,317.25008007884026,50.30821917808219,49.69178082191781,0.0214951855940534,0.0100758974819453,8.926940639269407,40.764840182648406,761.1924301705192,0.0,0.2977671260931419,1.4210854715202004e-14,-2272.134495448685,reward_v4,cuda,6720,6720,13440
SACSI Full,88,True,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed88_best.pt,fd1da8a6ded8b2d0c4e76be3c19690e8334d26153b09f260a0da34bb7321adad,True,354.28326469659805,56.21004566210046,43.789954337899545,0.0219601324384677,0.0164537526065729,0.0,43.789954337899545,785.4525346775785,0.0,0.3115144646569948,1.4210854715202004e-14,-862.2760053717839,reward_v4,cuda,6720,6720,13440
SACSI Full,99,True,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed99_best.pt,ad6dd59db91184e8f5c153f8ebae4c3d9838466d89068221e84418de181eb656,True,431.9469735324383,55.14840182648402,44.85159817351598,0.0228620918396308,0.0210750155292943,0.0,44.85159817351598,857.3310682700702,1.1767303495154522,0.3150366922827275,1.4210854715202004e-14,-1546.2922903139238,reward_v4,cuda,6720,6720,13440
SACSI Full,110,True,True,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed110_best.pt,51f2a1406bc51618ed3b2b4177af56ff59933203b872116c3e951641545d7bcb,False,453.6605497598648,53.34474885844749,46.65525114155251,0.0229374129573369,0.03343809026264,3.550228310502283,43.10502283105023,889.3845431918194,0.9913956828877132,0.3047089046165014,1.4210854715202004e-14,-1975.2982333366465,reward_v4,cuda,6720,6720,13440
