model,seed,forecast,memory,reward_version,training_device,selected_episode,validation_gate,losses_finite,new_interactions,base_anchor_interactions,effective_total_interactions,checkpoint_selection,benchmark_used_for_selection,history_residual_norm,forecast_residual_norm,zero_history_action_delta_mm,zero_forecast_action_delta_mm,common_support_hash,checkpoint,checkpoint_sha256
TD3,99,False,False,reward_v4,cuda,20,False,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/TD3/td3_seed99_best.pt,06636fecf4c2b5d9a9f537aa375bc674bcd1c48c2d23331cfb327ece50ce4508
TD3,110,False,False,reward_v4,cuda,20,False,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/TD3/td3_seed110_best.pt,553a426d1bdbe843e40ea725660b471dd1af93d88611a7b39d7782b942a00ee6
SAC,11,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed11_best.pt,a5b5515ccdd9a325c38790b98bf971365347ffb392f36a54983f16c5e809825c
SAC,22,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed22_best.pt,be956eea64d7c1922120fcae84bb2052670f37f8787a5cfd7abbdbfac961efc2
SAC,33,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed33_best.pt,a292da3fa2b0069874f58b9836c9126bcbd61a061960f2e07778558e7fb3efd1
SAC,44,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed44_best.pt,d59cddbbb0af9ce3b4015776f37a5ea3d439fafd65840833174f475e12e9c363
SAC,55,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed55_best.pt,aa2a2e370df694c2c6c53440615b5d7a77b0e9c919b5d330bce6e22c8a763e09
SAC,66,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed66_best.pt,b8b2a592c3c3ab05d208d068ac2e72e96cf02f8f5a626aa618138799a4366da4
SAC,77,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed77_best.pt,075e7fea4a8b994d7c1074ba1e7d3a087e9de05262d4ba7dad1adcbc31de68ba
SAC,88,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed88_best.pt,dcf4b45b859fa169e6e6194f51cb67d7cfda41548c66d1f5fdec4b18f2e373f4
SAC,99,False,False,reward_v4,cuda,10,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed99_best.pt,11650209afccd0065c436661afbcf896072ffb373c6129f9bfee35a05ef09902
SAC,110,False,False,reward_v4,cuda,20,False,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed110_best.pt,5c0f619863fddbdd9d3e8b0c7542756a1dfce5f7398ffe314e9de8480301480f
SACSI-POMDP,11,True,True,reward_v4,cuda,10,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.5920118689537048,0.1949748992919922,0.0194524975404852,0.0028570061993031,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed11_best.pt,f7334b7143035614558fb80e78b61ddb63a3204ab3420e58dfe118f7b42c8cf7
SACSI-POMDP,22,True,True,reward_v4,cuda,10,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.4839317500591278,0.2647901773452759,0.009528041506807,0.0030988951524098,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed22_best.pt,8af5b9d69e4d1eb7187854f9c3a6575ec1935e0443b5df4f7011202e50497f54
SACSI-POMDP,33,True,True,reward_v4,cuda,0,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.0,0.0,0.0,0.0,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed33_best.pt,4084a79674549b2645ba263c026409dbaefdfe27c2d6b004f2030e962773c19f
SACSI-POMDP,44,True,True,reward_v4,cuda,10,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.3576260805130005,0.1847514659166336,0.0252330126684336,0.0014044206944249,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed44_best.pt,52f140e8235d8dbd7327943490a41386ba227bdde56e1580817cddb9bce0af81
SACSI-POMDP,55,True,True,reward_v4,cuda,15,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.6144105195999146,0.1629109680652618,0.030877203370134,0.0030087449011348,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed55_best.pt,ee354266e16c443b84384b19a269b6eb19e1fe6cd381e8992045a33f783f5c7b
SACSI-POMDP,66,True,True,reward_v4,cuda,10,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.3841785788536072,0.2329717725515365,0.0132399442650022,0.0047216174148377,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed66_best.pt,d35b62ffb603072d092cf34db327cba7c08c29df71d36ccd22967fc908a420fc
SACSI-POMDP,77,True,True,reward_v4,cuda,0,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.0,0.0,0.0,0.0,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed77_best.pt,791422c2f7c852dc85751bf6ea62c470efa71a917296413f0617cbfd788fd1fd
SACSI-POMDP,88,True,True,reward_v4,cuda,20,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.5739798545837402,0.3907422721385956,0.0095440388790198,0.0087629485697973,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed88_best.pt,fd1da8a6ded8b2d0c4e76be3c19690e8334d26153b09f260a0da34bb7321adad
SACSI-POMDP,99,True,True,reward_v4,cuda,20,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.6561174392700195,0.3601067066192627,0.0164724886417388,0.0083504346687169,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed99_best.pt,ad6dd59db91184e8f5c153f8ebae4c3d9838466d89068221e84418de181eb656
SACSI-POMDP,110,True,True,reward_v4,cuda,20,False,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,0.5829778909683228,0.328345388174057,0.0191032917549212,0.0023595665004991,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed110_best.pt,51f2a1406bc51618ed3b2b4177af56ff59933203b872116c3e951641545d7bcb
