split,controller,forecast_protocol,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm
train_2021_2023,No Irrigation,historical_continuous_h1_proxy,0.0,36.18721461187215,63.81278538812786,20.67351598173516,43.13926940639269,0.032934149539593824,0.28911540585292794,162.0460145083236,3022.642464292432,0.0,0.00016146499079277722,0.0,2.842170943040401e-14
train_2021_2023,Fixed Schedule,historical_continuous_h1_proxy,3285.0,12.488584474885844,87.51141552511416,1.5410958904109588,85.9703196347032,0.03450222596702454,0.34274582563141437,200.54717809019468,5694.139869031478,0.2500095132995928,0.00022834094430779691,0.9990867579908675,2.842170943040401e-14
train_2021_2023,Threshold-Based,historical_continuous_h1_proxy,780.0,50.18264840182648,49.817351598173516,0.0,49.817351598173516,0.025271678145516945,0.31434106044594523,177.1016527275719,3204.814382464766,0.05936298945926405,0.00018332572181353862,16.907692307692308,2.842170943040401e-14
train_2021_2023,Rule-Based Forecast-Aware,historical_continuous_h1_proxy,780.0,50.18264840182648,49.817351598173516,0.0,49.817351598173516,0.025271678145516945,0.31434106044594523,177.1016527275719,3204.814382464766,0.05936298945926405,0.000307252664500179,16.907692307692308,2.842170943040401e-14
train_2021_2023,Fuzzy Controller,historical_continuous_h1_proxy,898.0544389500453,47.766362252663626,52.23363774733638,0.0,52.23363774733638,0.02588185477215416,0.3217093108693137,177.62829108466792,3322.342183057717,0.006742554452222311,0.0005105707733772742,13.977994490708449,2.842170943040401e-14
validation_2024,No Irrigation,historical_continuous_h1_proxy,0.0,23.83879781420765,76.16120218579235,38.14890710382514,38.01229508196721,0.043030455596001625,0.26481130974808675,74.20479313262216,1304.016560551431,0.0,0.0003590050130221454,0.0,2.842170943040401e-14
validation_2024,Fixed Schedule,historical_continuous_h1_proxy,1098.0,13.524590163934427,86.47540983606558,15.596539162112933,70.87887067395265,0.034679924793520174,0.31918596530067705,80.65571422056537,1968.4067810455947,0.2500284640783331,0.000514116575536445,1.0819672131147542,2.842170943040401e-14
validation_2024,Threshold-Based,historical_continuous_h1_proxy,510.0,60.76958105646631,39.23041894353369,0.0,39.23041894353369,0.026454546994015962,0.30400851481492863,74.20503065364643,1339.588832327873,0.11613343959922577,0.0004736908001615834,10.466666666666667,2.842170943040401e-14
validation_2024,Rule-Based Forecast-Aware,historical_continuous_h1_proxy,510.0,60.76958105646631,39.23041894353369,0.0,39.23041894353369,0.026454546994015962,0.30400851481492863,74.20503065364643,1339.588832327873,0.11613343959922577,0.00022519353313813279,10.466666666666667,2.842170943040401e-14
validation_2024,Fuzzy Controller,historical_continuous_h1_proxy,535.6671980309955,58.43579234972678,41.56420765027322,0.0,41.56420765027322,0.026753506426588212,0.3150995689637571,74.20503656641388,1359.745191819491,0.011801510087629544,0.001664332880675652,9.582442268012437,2.842170943040401e-14
benchmark_2025,No Irrigation,historical_continuous_h1_proxy,0.0,29.897260273972602,70.1027397260274,33.68721461187214,36.41552511415525,0.031232695124306382,0.2714833332108028,0.0,686.2464186642536,0.0,0.00038922374438930737,0.0,1.4210854715202004e-14
benchmark_2025,Fixed Schedule,historical_continuous_h1_proxy,1095.0,11.36986301369863,88.63013698630137,0.0,88.63013698630137,0.03224433773539984,0.34475544194690105,0.0,1511.7126250932815,0.25002854207101266,0.0005685616446349392,0.9095890410958904,1.4210854715202004e-14
benchmark_2025,Threshold-Based,historical_continuous_h1_proxy,290.0,60.125570776255714,39.874429223744286,0.0,39.874429223744286,0.020958760902708463,0.30574617120477887,0.0,726.7489560848157,0.06621760474940061,0.0003532762521800042,18.162068965517243,1.4210854715202004e-14
benchmark_2025,Rule-Based Forecast-Aware,historical_continuous_h1_proxy,290.0,60.125570776255714,39.874429223744286,0.0,39.874429223744286,0.020958760902708463,0.30574617120477887,0.0,726.7489560848157,0.06621760474940061,0.000558299088007603,18.162068965517243,1.4210854715202004e-14
benchmark_2025,Fuzzy Controller,historical_continuous_h1_proxy,327.1419339702751,56.21004566210046,43.789954337899545,0.0,43.789954337899545,0.02165478426323202,0.31522072927258216,0.0,755.6693915959368,0.006831063340204288,0.001492340182051118,15.051570858682418,1.4210854715202004e-14
