seed,forecast_main_effect,memory_main_effect,forecast_x_memory_interaction
11,0.6735159817351573,-0.25114155251142023,-1.278538812785385
22,5.074200913242009,-1.078767123287676,-9.92009132420091
33,0.14840182648401878,-0.14840182648401878,-0.29680365296803757
44,0.4908675799086666,0.228310502283108,0.5479452054794365
55,5.331050228310502,-2.043378995433791,-7.009132420091333
66,3.2876712328767113,-0.3082191780821901,-5.4109589041095845
77,-1.0445205479452042,1.0445205479452042,2.0890410958904084
88,5.439497716894984,-0.6449771689497652,-12.043378995433777
99,-0.36529680365296713,1.4155251141552583,0.8904109589041127
110,-1.078767123287669,1.3299086757990892,2.454337899543397
