method,n_trajectories,inferential_eligible,reporting_role,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm
No Irrigation,1,False,deterministic trajectory reference only,0.0,29.8972602739726,70.1027397260274,0.0312326951243063,0.0,33.68721461187214,36.41552511415525,686.2464186642536,0.0,0.2714833332108028,1.4210854715202004e-14
Fixed Schedule,1,False,deterministic trajectory reference only,1095.0,11.36986301369863,88.63013698630137,0.0322443377353998,0.2500285420710126,0.0,88.63013698630137,1511.7126250932815,0.0,0.344755441946901,1.4210854715202004e-14
Threshold-Based,1,False,deterministic trajectory reference only,290.0,60.125570776255714,39.874429223744286,0.0209587609027084,0.0662176047494006,0.0,39.874429223744286,726.7489560848157,0.0,0.3057461712047788,1.4210854715202004e-14
Rule-Based Forecast-Aware,1,False,deterministic trajectory reference only,290.0,60.125570776255714,39.874429223744286,0.0209587609027084,0.0662176047494006,0.0,39.874429223744286,726.7489560848157,0.0,0.3057461712047788,1.4210854715202004e-14
Fuzzy Controller,1,False,deterministic trajectory reference only,327.1419339702751,56.21004566210046,43.789954337899545,0.021654784263232,0.0068310633402042,0.0,43.789954337899545,755.6693915959368,0.0,0.3152207292725821,1.4210854715202004e-14
