metric,effect,n_seeds,mean_effect,sd_effect,bootstrap_ci95_low,bootstrap_ci95_high,inferential_status
total_irrigation_mm,forecast_main_effect,10,-17.471671317517757,24.195912366689715,-31.518618042170996,-3.3541186624392956,secondary_descriptive_only
total_irrigation_mm,memory_main_effect,10,-6.349304495751857,19.709862705914023,-17.376428765207528,5.643055408187204,secondary_descriptive_only
total_irrigation_mm,forecast_x_memory_interaction,10,6.249200955033319,52.578649677629876,-26.64222144782543,34.63487291745843,secondary_descriptive_only
time_in_target_pct,forecast_main_effect,10,1.795662100456621,2.696197043966238,0.25856164383561686,3.4275256849315077,primary_pre-specified
time_in_target_pct,memory_main_effect,10,-0.04566210045662018,1.0969600943867803,-0.6923515981735164,0.581050228310503,primary_pre-specified
time_in_target_pct,forecast_x_memory_interaction,10,-2.9977168949771675,5.219602304792715,-6.194092465753423,-0.07759703196347302,primary_pre-specified
violation_rate_pct,forecast_main_effect,10,-1.7956621004566216,2.6961970439662375,-3.4275256849315086,-0.2585616438356169,secondary_descriptive_only
violation_rate_pct,memory_main_effect,10,0.04566210045662018,1.0969600943867772,-0.5810502283105017,0.6923515981735143,secondary_descriptive_only
violation_rate_pct,forecast_x_memory_interaction,10,2.9977168949771738,5.219602304792718,0.0775970319634745,6.194092465753427,secondary_descriptive_only
rmse_band,forecast_main_effect,10,-0.00029406288109190516,0.00039222913655415125,-0.0005248651046321335,-6.271254614626881e-05,secondary_descriptive_only
rmse_band,memory_main_effect,10,-9.156252750851558e-05,0.00016956203034046473,-0.00019958724810312326,-3.834406232764917e-06,secondary_descriptive_only
rmse_band,forecast_x_memory_interaction,10,0.00027893720657300863,0.000767585474726209,-0.0001691421720060297,0.0007258599440276688,secondary_descriptive_only
action_smoothness,forecast_main_effect,10,-0.0002940084956622903,0.004408905977546952,-0.002834348168472061,0.002331954404220068,secondary_descriptive_only
action_smoothness,memory_main_effect,10,-0.0017716422023764105,0.003972872148747462,-0.004021132221301494,0.0005741021330990848,secondary_descriptive_only
action_smoothness,forecast_x_memory_interaction,10,-0.00205573876850792,0.009248571404789133,-0.007783483652671679,0.0029365565048200203,secondary_descriptive_only
deficit_rate_pct,forecast_main_effect,10,-0.5662100456621004,2.0463384406189986,-1.9360730593607307,0.3904109589041096,secondary_descriptive_only
deficit_rate_pct,memory_main_effect,10,0.03310502283105023,0.7248274164781611,-0.4383561643835616,0.4115296803652968,secondary_descriptive_only
deficit_rate_pct,forecast_x_memory_interaction,10,1.2853881278538812,4.686230871819181,-0.8086472602739653,4.453196347031964,secondary_descriptive_only
surplus_rate_pct,forecast_main_effect,10,-1.2294520547945182,2.403306501541188,-2.698130707762555,0.1250285388127857,secondary_descriptive_only
surplus_rate_pct,memory_main_effect,10,0.012557077625569235,1.096150664598733,-0.6295662100456638,0.651840753424654,secondary_descriptive_only
surplus_rate_pct,forecast_x_memory_interaction,10,1.712328767123288,4.169044656865676,-0.5479737442922384,4.268293378995434,secondary_descriptive_only
drainage_total_mm,forecast_main_effect,10,-17.809070319918693,25.20360143375571,-32.763959687471605,-3.4754967949406224,secondary_descriptive_only
drainage_total_mm,memory_main_effect,10,-7.108354920951319,18.42437751992019,-17.489959428327992,3.997718436223235,secondary_descriptive_only
drainage_total_mm,forecast_x_memory_interaction,10,8.738759414393916,49.91444415282964,-23.006901339604887,35.09954837763374,secondary_descriptive_only
runoff_total_mm,forecast_main_effect,10,-0.03319642863507397,0.1049763246700683,-0.09958928590522191,0.0,secondary_descriptive_only
runoff_total_mm,memory_main_effect,10,0.03319642863507397,0.1049763246700683,0.0,0.09958928590522191,secondary_descriptive_only
runoff_total_mm,forecast_x_memory_interaction,10,-0.06639285727014795,0.2099526493401366,-0.19917857181044382,0.0,secondary_descriptive_only
mean_soil_moisture,forecast_main_effect,10,-0.002004615187684006,0.00476945349932837,-0.004833748075028327,0.0007804426293255126,secondary_descriptive_only
mean_soil_moisture,memory_main_effect,10,0.00010684803318544155,0.003147668509391881,-0.0016515747877060903,0.001987977473859411,secondary_descriptive_only
mean_soil_moisture,forecast_x_memory_interaction,10,0.0021433024522599597,0.008182213290370055,-0.0025617123864778457,0.0069307430791209,secondary_descriptive_only
max_abs_mass_balance_error_mm,forecast_main_effect,10,0.0,3.3495305785253883e-15,-2.1316282072803017e-15,2.1316282072803017e-15,secondary_descriptive_only
max_abs_mass_balance_error_mm,memory_main_effect,10,-1.421085471520201e-15,2.995911226518786e-15,-3.5527136788005025e-15,0.0,secondary_descriptive_only
max_abs_mass_balance_error_mm,forecast_x_memory_interaction,10,0.0,6.699061157050777e-15,-4.263256414560603e-15,4.263256414560603e-15,secondary_descriptive_only
