model,seed,device,reward_version,selected_episode,validation_gate,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,mean_soil_moisture,max_abs_mass_balance_error_mm,checkpoint,checkpoint_sha256,benchmark_period,benchmark_2025_total_irrigation_mm,benchmark_2025_time_in_target_pct,benchmark_2025_violation_rate_pct,benchmark_2025_rmse_band,benchmark_2025_action_smoothness,benchmark_2025_deficit_rate_pct,benchmark_2025_surplus_rate_pct,benchmark_2025_drainage_total_mm,benchmark_2025_runoff_total_mm,benchmark_2025_mean_soil_moisture,benchmark_2025_max_abs_mass_balance_error_mm,checkpoint_training_period,checkpoint_validation_period,forecast_protocol,forecast_intervention_action_delta_mm,sequence_length,memory_active,context_residual_norm,zero_history_action_delta_mm,reverse_history_action_delta_mm,shuffle_history_action_delta_mm,history_active,forecast_active,history_residual_norm,forecast_residual_norm,zero_forecast_action_delta_mm,zero_context_action_delta_mm
SAC Basic,11,cuda,reward_v2,20,True,557.5149019658566,58.49271402550092,41.50728597449909,0.1821493624772313,41.32513661202186,0.306199786599049,2.8421709430404014e-14,Checkpoints\SAC_Basic\sac_basic_seed11_reward_v2_training_ep100.pt,31ca1c66426a39a8bf6129184ebb08e91c8b2484ce5ec7c1b76181955ef13e89,2025,355.94068017601967,55.01141552511416,44.98858447488585,0.022108021172193685,0.012848493970274748,0.0,44.98858447488585,782.4234302863503,0.0,0.31386542210217483,1.4210854715202004e-14,2021-2023,2024,,,,,,,,,,,,,,
SAC Basic,22,cuda,reward_v2,10,False,623.1859191954136,51.047358834244086,48.95264116575592,0.0,48.95264116575592,0.3207684753273707,2.8421709430404014e-14,Checkpoints\SAC_Basic\sac_basic_seed22_reward_v2_training_ep100.pt,5c5971107e2df3c3df8069b54df9f690dfe4e6bc83859c1c37273d887ef4052a,2025,443.5128252506256,47.79680365296804,52.20319634703196,0.023464864171886337,0.00837495733524161,0.0,52.20319634703196,868.5078576244875,0.0,0.32345948631406374,1.4210854715202004e-14,2021-2023,2024,,,,,,,,,,,,,,
SAC Basic,33,cuda,reward_v2,50,True,672.0760239958763,56.97859744990893,43.02140255009108,0.3529143897996357,42.66848816029144,0.3081102918876462,2.8421709430404014e-14,Checkpoints\SAC_Basic\sac_basic_seed33_reward_v2_training_ep100.pt,99d368366df66370fd4cbcf26829aee388d318916800315ebc12bf36b9f6935d,2025,394.53127378225327,53.75570776255708,46.24429223744293,0.02253310642195431,0.028612960693512025,0.8447488584474886,45.39954337899543,822.4295945135012,0.0,0.3126849725826461,2.842170943040401e-14,2021-2023,2024,,,,,,,,,,,,,,
SAC Basic,44,cuda,reward_v2,20,True,615.7849411964417,59.06193078324225,40.93806921675774,0.0,40.93806921675774,0.308594412509102,2.8421709430404014e-14,Checkpoints\SAC_Basic\sac_basic_seed44_reward_v2_training_ep100.pt,ee3945ac68c87b84815b8eb4de6ac10669152ac02ed27c57492c2d3125ca2708,2025,368.3022954761982,56.57534246575342,43.42465753424658,0.02211373415942417,0.01855948615705658,0.0,43.42465753424658,800.0285983169786,0.0,0.3122526234983457,1.4210854715202004e-14,2021-2023,2024,,,,,,,,,,,,,,
SAC Basic,55,cuda,reward_v2,40,True,711.9261676669121,55.020491803278695,44.97950819672131,1.7304189435336976,43.24908925318761,0.306594015874878,2.8421709430404014e-14,Checkpoints\SAC_Basic\sac_basic_seed55_reward_v2_training_ep100.pt,f09342b63f2e0aa74aacab72ddf4fa7cec65feeac7e15a4970d24162594c6799,2025,514.7520569860935,46.141552511415526,53.858447488584474,0.02390018122656382,0.043208164624501506,1.3812785388127853,52.47716894977169,940.0440821586118,0.0,0.32090258536489524,2.842170943040401e-14,2021-2023,2024,,,,,,,,,,,,,,
SAC Basic,66,cuda,reward_v2,20,True,592.7354446053505,56.67122040072859,43.32877959927141,0.0,43.32877959927141,0.3149589427101542,2.8421709430404014e-14,Checkpoints\SAC_Basic\sac_basic_seed66_reward_v2_training_ep100.pt,94f6c11f35dd31d1659d4f7b0854275b5c9ee063a90b021ac2a2dbfd0e6b4c0a,2025,378.2709575891495,54.01826484018265,45.98173515981735,0.02238774695955537,0.01277338038610669,0.0,45.98173515981735,808.1002106032488,0.0,0.3132155942368735,1.4210854715202004e-14,2021-2023,2024,,,,,,,,,,,,,,
SAC Basic,77,cuda,reward_v2,60,True,576.2654546499252,60.132058287796,39.86794171220401,0.7969034608378871,39.07103825136612,0.2981110974777032,2.8421709430404014e-14,Checkpoints\SAC_Basic\sac_basic_seed77_reward_v2_training_ep100.pt,2b972b26764a3f275b126821cd1b0609ac3b59c36e03f968d0ced952c4d07842,2025,335.05380153656006,58.230593607305934,41.769406392694066,0.02143815539675574,0.013190811128019675,0.2625570776255708,41.50684931506849,766.2058372705363,0.0,0.3038078159732266,1.4210854715202004e-14,2021-2023,2024,,,,,,,,,,,,,,
SAC Basic,88,cuda,reward_v2,40,True,699.47411647439,59.904371584699454,40.09562841530055,0.0,40.09562841530055,0.3013618293605772,2.8421709430404014e-14,Checkpoints\SAC_Basic\sac_basic_seed88_reward_v2_training_ep100.pt,f7fab69a661e3a7c83cb1e95dfc49195b3c8fda3e7bf20bb25d79acffcd803d6,2025,384.0218263566494,44.794520547945204,55.205479452054796,0.022910086412825548,0.024420521791864033,13.41324200913242,41.79223744292238,845.8319323062769,0.0,0.29737963033115344,1.4210854715202004e-14,2021-2023,2024,,,,,,,,,,,,,,
SAC Basic,99,cuda,reward_v2,80,True,639.2247588336468,61.03142076502732,38.96857923497268,0.0,38.96857923497268,0.2984249484725975,2.8421709430404014e-14,Checkpoints\SAC_Basic\sac_basic_seed99_reward_v2_training_ep100.pt,6599de070eb0d188edf11a6c2eee926dd77710bd375cd216c104e1d5270aba6f,2025,336.63821879029274,59.85159817351599,40.14840182648402,0.021447988127904792,0.012416497783065318,0.0,40.14840182648402,773.7343162821536,0.0,0.30124274014184876,1.4210854715202004e-14,2021-2023,2024,,,,,,,,,,,,,,
SAC Basic,110,cuda,reward_v2,100,True,548.6240196228027,60.55327868852459,39.44672131147541,0.0,39.44672131147541,0.3012747155105914,2.8421709430404014e-14,Checkpoints\SAC_Basic\sac_basic_seed110_reward_v2_training_ep100.pt,3dd2d52545ae332e22a8873449c371565eb7057d79469036ae4b95ebbbf0d7ff,2025,325.4927626848221,58.98401826484019,41.01598173515982,0.02144838591800559,0.017272120122836597,0.0,41.01598173515982,761.0445089037119,0.0,0.3038823586106965,1.4210854715202004e-14,2021-2023,2024,,,,,,,,,,,,,,
